dataset_name,latest_version
RM079,https://api.beta.ons.gov.uk/v1/datasets/RM079/editions/2021/versions/4
RM078,https://api.beta.ons.gov.uk/v1/datasets/RM078/editions/2021/versions/4
RM077,https://api.beta.ons.gov.uk/v1/datasets/RM077/editions/2021/versions/4
RM076,https://api.beta.ons.gov.uk/v1/datasets/RM076/editions/2021/versions/3
RM075,https://api.beta.ons.gov.uk/v1/datasets/RM075/editions/2021/versions/4
RM074,https://api.beta.ons.gov.uk/v1/datasets/RM074/editions/2021/versions/1
RM073,https://api.beta.ons.gov.uk/v1/datasets/RM073/editions/2021/versions/1
RM072,https://api.beta.ons.gov.uk/v1/datasets/RM072/editions/2021/versions/1
RM071,https://api.beta.ons.gov.uk/v1/datasets/RM071/editions/2021/versions/1
RM070,https://api.beta.ons.gov.uk/v1/datasets/RM070/editions/2021/versions/3
RM069,https://api.beta.ons.gov.uk/v1/datasets/RM069/editions/2021/versions/1
RM068,https://api.beta.ons.gov.uk/v1/datasets/RM068/editions/2021/versions/1
RM067,https://api.beta.ons.gov.uk/v1/datasets/RM067/editions/2021/versions/1
RM066,https://api.beta.ons.gov.uk/v1/datasets/RM066/editions/2021/versions/1
RM065,https://api.beta.ons.gov.uk/v1/datasets/RM065/editions/2021/versions/3
RM064,https://api.beta.ons.gov.uk/v1/datasets/RM064/editions/2021/versions/3
RM063,https://api.beta.ons.gov.uk/v1/datasets/RM063/editions/2021/versions/3
RM062,https://api.beta.ons.gov.uk/v1/datasets/RM062/editions/2021/versions/3
RM061,https://api.beta.ons.gov.uk/v1/datasets/RM061/editions/2021/versions/3
RM060,https://api.beta.ons.gov.uk/v1/datasets/RM060/editions/2021/versions/3
RM059,https://api.beta.ons.gov.uk/v1/datasets/RM059/editions/2021/versions/3
RM058,https://api.beta.ons.gov.uk/v1/datasets/RM058/editions/2021/versions/3
RM057,https://api.beta.ons.gov.uk/v1/datasets/RM057/editions/2021/versions/3
RM056,https://api.beta.ons.gov.uk/v1/datasets/RM056/editions/2021/versions/3
RM055,https://api.beta.ons.gov.uk/v1/datasets/RM055/editions/2021/versions/1
RM054,https://api.beta.ons.gov.uk/v1/datasets/RM054/editions/2021/versions/1
RM053,https://api.beta.ons.gov.uk/v1/datasets/RM053/editions/2021/versions/1
RM052,https://api.beta.ons.gov.uk/v1/datasets/RM052/editions/2021/versions/1
RM051,https://api.beta.ons.gov.uk/v1/datasets/RM051/editions/2021/versions/3
RM049,https://api.beta.ons.gov.uk/v1/datasets/RM049/editions/2021/versions/1
RM048,https://api.beta.ons.gov.uk/v1/datasets/RM048/editions/2021/versions/3
RM047,https://api.beta.ons.gov.uk/v1/datasets/RM047/editions/2021/versions/1
RM046,https://api.beta.ons.gov.uk/v1/datasets/RM046/editions/2021/versions/1
RM045,https://api.beta.ons.gov.uk/v1/datasets/RM045/editions/2021/versions/1
RM044,https://api.beta.ons.gov.uk/v1/datasets/RM044/editions/2021/versions/3
RM043,https://api.beta.ons.gov.uk/v1/datasets/RM043/editions/2021/versions/1
RM042,https://api.beta.ons.gov.uk/v1/datasets/RM042/editions/2021/versions/1
